"workerid","category","trial_type","rt","trial_num","response"
0,"carries malaria","free_production",7219,1,"mosquito"
0,"eats people","free_production",5291,2,"shark"
0,"is juvenile","free_production",5026,3,"tiger"
0,"has a mane","free_production",4163,4,"horse"
0,"is full-grown","free_production",5666,5,"bear"
0,"doesn&quotechart carry Lyme disease","free_production",6871,6,"praying mantis"
0,"is white","free_production",3773,7,"dove"
0,"doesn&quotechart eat people","free_production",3326,8,"cat"
0,"is male","free_production",4376,9,"dog"
0,"doesn&quotechart attack swimmers","free_production",8200,10,"pelican"
0,"is red","free_production",5688,11,"cardinal "
0,"lays eggs","free_production",5720,12,"turtle"
0,"carries Lyme disease","free_production",2807,13,"tick"
0,"has wings","free_production",4611,14,"bat"
0,"has spots","free_production",10615,15,"lady bug"
0,"is female","free_production",15334,16,"mare"
0,"doesn&quotechart carry malaria","free_production",3034,17,"fly"
0,"attacks swimmers","free_production",3997,18,"eel"
0,"doesn&quotechart have beautiful feathers","free_production",3665,19,"pig"
0,"has a pouch","free_production",3734,20,"kangaroo"
0,"has beautiful feathers","free_production",4477,21,"peacock"
1,"doesn&quotechart eat people","free_production",14828,1,"Ant"
1,"is female","free_production",21819,2,"Cat"
1,"has a mane","free_production",23348,3,"Lion"
1,"carries Lyme disease","free_production",8546,4,"Mosquito"
1,"is red","free_production",10507,5,"Red ant"
1,"doesn&quotechart carry Lyme disease","free_production",4983,6,"Fly"
1,"has spots","free_production",14554,7,"Beetle"
1,"has a pouch","free_production",4468,8,"Kangaroo"
1,"doesn&quotechart have beautiful feathers","free_production",7836,9,"Lizard"
1,"has beautiful feathers","free_production",3468,10,"Bird"
1,"doesn&quotechart attack swimmers","free_production",43645,11,"Dog"
1,"doesn&quotechart carry malaria","free_production",7258,12,"Dog"
1,"eats people","free_production",8177,13,"Crocodile"
1,"is full-grown","free_production",5056,14,"Dog"
1,"lays eggs","free_production",4836,15,"Chicken"
1,"has wings","free_production",2990,16,"Bird"
1,"attacks swimmers","free_production",3656,17,"Shark"
1,"carries malaria","free_production",8905,18,"Mosquito"
1,"is male","free_production",3774,19,"Dog"
1,"is juvenile","free_production",9709,20,"Puppy"
1,"is white","free_production",4156,21,"Cow"
2,"has a pouch","free_production",5495,1,"kangaroo"
2,"doesn&quotechart attack swimmers","free_production",12388,2,"clownfish"
2,"attacks swimmers","free_production",4632,3,"shark"
2,"eats people","free_production",12825,4,"lion"
2,"doesn&quotechart have beautiful feathers","free_production",7279,5,"pigeon"
2,"has beautiful feathers","free_production",6711,6,"peacock"
2,"has a mane","free_production",5857,7,"lion"
2,"carries Lyme disease","free_production",2908,8,"tick"
2,"carries malaria","free_production",7983,9,"mosquito"
2,"is full-grown","free_production",7821,10,"elephant"
2,"doesn&quotechart eat people","free_production",7755,11,"cat"
2,"is female","free_production",22538,12,"chicken"
2,"has wings","free_production",7149,13,"hummingbird"
2,"doesn&quotechart carry malaria","free_production",4280,14,"dogs"
2,"doesn&quotechart carry Lyme disease","free_production",7223,15,"cats"
2,"is red","free_production",24154,16,"bird"
2,"has spots","free_production",10033,17,"leopard"
2,"is male","free_production",4241,18,"rooster"
2,"lays eggs","free_production",5985,19,"chicken"
2,"is white","free_production",21088,20,"cat"
2,"is juvenile","free_production",6263,21,"kitten"
3,"carries Lyme disease","free_production",13743,1,"tick"
3,"is juvenile","free_production",6943,2,"kitten"
3,"is female","free_production",7496,3,"cat"
3,"has a mane","free_production",4296,4,"lion"
3,"carries malaria","free_production",9104,5,"mosquito"
3,"doesn&quotechart attack swimmers","free_production",10216,6,"trout"
3,"is red","free_production",7304,7,"ladybug"
3,"eats people","free_production",9680,8,"shark"
3,"has beautiful feathers","free_production",6888,9,"peacock"
3,"has wings","free_production",6648,10,"eagle"
3,"attacks swimmers","free_production",18840,11,"shark"
3,"doesn&quotechart have beautiful feathers","free_production",10952,12,"pidgeon"
3,"doesn&quotechart carry malaria","free_production",7911,13,"ant"
3,"doesn&quotechart carry Lyme disease","free_production",14047,14,"cheetah"
3,"doesn&quotechart eat people","free_production",4848,15,"dog"
3,"is full-grown","free_production",8288,16,"elephant"
3,"has a pouch","free_production",6104,17,"kangaroo"
3,"lays eggs","free_production",3824,18,"chicken"
3,"is male","free_production",5448,19,"wolf"
3,"is white","free_production",7248,20,"rabbit"
3,"has spots","free_production",10153,21,"duck"
4,"doesn&quotechart have beautiful feathers","free_production",5243,1,"cat"
4,"carries malaria","free_production",4347,2,"mosquito"
4,"is white","free_production",4683,3,"whale"
4,"has spots","free_production",13619,4,"giraffe"
4,"attacks swimmers","free_production",3833,5,"shark"
4,"lays eggs","free_production",4170,6,"fly"
4,"has wings","free_production",7016,7,"fly"
4,"is juvenile","free_production",14461,8,"tiger cub"
4,"doesn&quotechart carry malaria","free_production",3940,9,"cat"
4,"doesn&quotechart attack swimmers","free_production",3993,10,"dog"
4,"eats people","free_production",5436,11,"shark"
4,"doesn&quotechart eat people","free_production",3473,12,"cat"
4,"carries Lyme disease","free_production",3692,13,"tick"
4,"has a pouch","free_production",4624,14,"kangaroo"
4,"is full-grown","free_production",3833,15,"kangaro"
4,"is red","free_production",10712,16,"ladybug"
4,"doesn&quotechart carry Lyme disease","free_production",6697,17,"ladybug"
4,"has a mane","free_production",4510,18,"lion"
4,"is female","free_production",17224,19,"kangaroo"
4,"is male","free_production",4749,20,"kangaroo"
4,"has beautiful feathers","free_production",5060,21,"peacock"
5,"carries malaria","free_production",75553,1,"mosquito"
5,"is juvenile","free_production",7911,2,"monkey"
5,"eats people","free_production",7406,3,"tiger"
5,"has a pouch","free_production",10688,4,"kangaroo"
5,"doesn&quotechart have beautiful feathers","free_production",8532,5,"kiwi"
5,"has spots","free_production",9342,6,"leopard"
5,"carries Lyme disease","free_production",7894,7,"tick"
5,"lays eggs","free_production",3492,8,"hen"
5,"has wings","free_production",6166,9,"bird"
5,"doesn&quotechart eat people","free_production",19997,10,"frog"
5,"is female","free_production",5804,11,"frog"
5,"doesn&quotechart carry malaria","free_production",6323,12,"frog"
5,"doesn&quotechart carry Lyme disease","free_production",5610,13,"frog"
5,"is red","free_production",5893,14,"cardinal"
5,"doesn&quotechart attack swimmers","free_production",9544,15,"tuna"
5,"has beautiful feathers","free_production",45046,16,"peacock"
5,"is male","free_production",43818,17,"frog"
5,"attacks swimmers","free_production",76974,18,"shark"
5,"has a mane","free_production",5124,19,"lion"
5,"is white","free_production",9894,20,"dove"
5,"is full-grown","free_production",5118,21,"cow"
6,"carries Lyme disease","free_production",5765,1,"tick"
6,"has a mane","free_production",2995,2,"horse"
6,"is male","free_production",8441,3,"Dog"
6,"doesn&quotechart carry Lyme disease","free_production",9476,4,"Cat"
6,"eats people","free_production",8828,5,"Lion"
6,"is full-grown","free_production",6015,6,"Poodle"
6,"has beautiful feathers","free_production",3499,7,"Peacock"
6,"doesn&quotechart eat people","free_production",5116,8,"Pig"
6,"has a pouch","free_production",3777,9,"Kangaroo"
6,"doesn&quotechart carry malaria","free_production",4486,10,"Dog"
6,"doesn&quotechart attack swimmers","free_production",6589,11,"Dolphin"
6,"has wings","free_production",5347,12,"eagle"
6,"is juvenile","free_production",4942,13,"Kitten"
6,"attacks swimmers","free_production",3780,14,"Shark"
6,"lays eggs","free_production",3162,15,"Chicken"
6,"carries malaria","free_production",10070,16,"Mosquito "
6,"is red","free_production",103387,17,"Ladybug"
6,"is white","free_production",4737,18,"cat"
6,"is female","free_production",8255,19,"sparrow"
6,"has spots","free_production",5113,20,"Cheetah"
6,"doesn&quotechart have beautiful feathers","free_production",6311,21,"gazelle"
7,"has a mane","free_production",5643,1,"horse"
7,"lays eggs","free_production",4513,2,"chicken"
7,"doesn&quotechart carry malaria","free_production",9005,3,"cat"
7,"has beautiful feathers","free_production",4721,4,"peacock"
7,"is white","free_production",5752,5,"cat"
7,"doesn&quotechart attack swimmers","free_production",8463,6,"tuna"
7,"has spots","free_production",5545,7,"dalmation"
7,"doesn&quotechart eat people","free_production",9910,8,"giraffe"
7,"is full-grown","free_production",5845,9,"elephant"
7,"carries malaria","free_production",5850,10,"mosquito"
7,"is male","free_production",4970,11,"dog"
7,"eats people","free_production",4691,12,"lion"
7,"is female","free_production",3376,13,"bear"
7,"has a pouch","free_production",4833,14,"kangaroo"
7,"is juvenile","free_production",4755,15,"joey"
7,"carries Lyme disease","free_production",4468,16,"tick"
7,"doesn&quotechart carry Lyme disease","free_production",5846,17,"mosquito"
7,"is red","free_production",4854,18,"ladybug"
7,"attacks swimmers","free_production",3849,19,"shark"
7,"has wings","free_production",6596,20,"beatle"
7,"doesn&quotechart have beautiful feathers","free_production",8618,21,"finch"
8,"carries Lyme disease","free_production",5924,1,"TICKS"
8,"doesn&quotechart have beautiful feathers","free_production",8760,2,"OSTRICH"
8,"carries malaria","free_production",7280,3,"MOSQUITO"
8,"attacks swimmers","free_production",6250,4,"SHARKS"
8,"has wings","free_production",6944,5,"BUTTERFLY"
8,"has beautiful feathers","free_production",5354,6,"PEACOCK"
8,"doesn&quotechart eat people","free_production",7422,7,"GIRAFFE"
8,"doesn&quotechart carry Lyme disease","free_production",7245,8,"FLY"
8,"has a pouch","free_production",3882,9,"KANGAROO"
8,"doesn&quotechart carry malaria","free_production",5963,10,"MOTHS"
8,"lays eggs","free_production",2881,11,"HENS"
8,"is full-grown","free_production",5599,12,"ELEPHANT"
8,"is white","free_production",7781,13,"POLAR BEAR"
8,"is juvenile","free_production",9343,14,"RABBIT"
8,"is red","free_production",2766,15,"FOX"
8,"has spots","free_production",5653,16,"LEOPARD"
8,"eats people","free_production",10081,17,"LIONS"
8,"doesn&quotechart attack swimmers","free_production",4840,18,"DOLPHINS"
8,"is male","free_production",8194,19,"ROOSTER"
8,"is female","free_production",2884,20,"HEN"
8,"has a mane","free_production",7554,21,"HORSE"
9,"is full-grown","free_production",5466,1,"dog"
9,"has spots","free_production",6468,2,"giraffe"
9,"attacks swimmers","free_production",2508,3,"shark"
9,"is red","free_production",8483,4,"babboon"
9,"has a pouch","free_production",2822,5,"kangaroo"
9,"lays eggs","free_production",2812,6,"spider"
9,"doesn&quotechart have beautiful feathers","free_production",7109,7,"sparrow"
9,"eats people","free_production",5193,8,"alligator"
9,"is juvenile","free_production",7529,9,"hyena"
9,"is white","free_production",5487,10,"lemur"
9,"doesn&quotechart eat people","free_production",7834,11,"guppie"
9,"has beautiful feathers","free_production",2978,12,"peacock"
9,"carries Lyme disease","free_production",4214,13,"tick"
9,"is female","free_production",3723,14,"cat"
9,"doesn&quotechart carry Lyme disease","free_production",2842,15,"dog"
9,"doesn&quotechart carry malaria","free_production",5949,16,"ostrich"
9,"carries malaria","free_production",3758,17,"mosquito"
9,"doesn&quotechart attack swimmers","free_production",5907,18,"starfish"
9,"has a mane","free_production",3034,19,"lion"
9,"is male","free_production",5523,20,"seahorse"
9,"has wings","free_production",7169,21,"bird"
10,"doesn&quotechart attack swimmers","free_production",10226,1,"fish"
10,"is juvenile","free_production",6893,2,"maggot"
10,"doesn&quotechart eat people","free_production",5023,3,"cow"
10,"is white","free_production",8240,4,"ermine"
10,"doesn&quotechart have beautiful feathers","free_production",6570,5,"sparrow"
10,"eats people","free_production",5298,6,"alligator"
10,"has a pouch","free_production",19910,7,"echidna"
10,"doesn&quotechart carry malaria","free_production",6302,8,"cat"
10,"attacks swimmers","free_production",6501,9,"jellyfish"
10,"has beautiful feathers","free_production",7533,10,"lovebird"
10,"has wings","free_production",11285,11,"starling"
10,"carries Lyme disease","free_production",3118,12,"deer"
10,"doesn&quotechart carry Lyme disease","free_production",4168,13,"bear"
10,"is male","free_production",3768,14,"bull"
10,"is red","free_production",3905,15,"fox"
10,"carries malaria","free_production",3858,16,"mosquito"
10,"is full-grown","free_production",6028,17,"fly"
10,"lays eggs","free_production",4495,18,"echidna"
10,"is female","free_production",9568,19,"cow"
10,"has a mane","free_production",3710,20,"zebra"
10,"has spots","free_production",3621,21,"leopard"
11,"carries malaria","free_production",6567,1,"mosquito"
11,"is juvenile","free_production",6371,2,"bat"
11,"is white","free_production",5836,3,"cat"
11,"attacks swimmers","free_production",5060,4,"shark"
11,"doesn&quotechart attack swimmers","free_production",5273,5,"bass"
11,"doesn&quotechart eat people","free_production",10889,6,"bird"
11,"doesn&quotechart carry Lyme disease","free_production",5027,7,"dog"
11,"doesn&quotechart carry malaria","free_production",4871,8,"bird"
11,"is full-grown","free_production",3106,9,"cow"
11,"has spots","free_production",7520,10,"leopard"
11,"doesn&quotechart have beautiful feathers","free_production",4704,11,"zebra"
11,"lays eggs","free_production",4266,12,"chicken"
11,"has beautiful feathers","free_production",5343,13,"peacock"
11,"has a mane","free_production",4506,14,"horse"
11,"has wings","free_production",5987,15,"mosquito"
11,"eats people","free_production",4549,16,"shark"
11,"has a pouch","free_production",5189,17,"kangaroo"
11,"is red","free_production",12655,18,"bird"
11,"is male","free_production",3964,19,"mule"
11,"carries Lyme disease","free_production",3348,20,"tick"
11,"is female","free_production",3465,21,"cow"
12,"carries malaria","free_production",6535,1,"mosquito"
12,"has a pouch","free_production",5495,2,"kangaroo"
12,"has wings","free_production",3324,3,"bat"
12,"attacks swimmers","free_production",6059,4,"shark"
12,"carries Lyme disease","free_production",4323,5,"tick"
12,"doesn&quotechart carry Lyme disease","free_production",6595,6,"fly"
12,"is red","free_production",4857,7,"fox"
12,"doesn&quotechart eat people","free_production",30479,8,"squirrel "
12,"is juvenile","free_production",8560,9,"puppy"
12,"eats people","free_production",3423,10,"bear"
12,"doesn&quotechart attack swimmers","free_production",8844,11,"gold fish"
12,"lays eggs","free_production",4349,12,"chicken"
12,"has a mane","free_production",4625,13,"cat"
12,"has beautiful feathers","free_production",4583,14,"peacock"
12,"is white","free_production",4428,15,"owl"
12,"is female","free_production",3691,16,"doe"
12,"is full-grown","free_production",7015,17,"buck"
12,"doesn&quotechart have beautiful feathers","free_production",16603,18,"rat"
12,"is male","free_production",19353,19,"ram"
12,"has spots","free_production",13528,20,"cheetah"
12,"doesn&quotechart carry malaria","free_production",8284,21,"stork"
13,"carries Lyme disease","free_production",5934,1,"tick"
13,"is full-grown","free_production",7398,2,"cow"
13,"is juvenile","free_production",8999,3,"fly"
13,"eats people","free_production",22699,4,"lion"
13,"is female","free_production",6630,5,"deer"
13,"has beautiful feathers","free_production",8618,6,"peacock"
13,"has spots","free_production",9340,7,"cow"
13,"is male","free_production",5170,8,"bull"
13,"has a mane","free_production",6791,9,"lion"
13,"lays eggs","free_production",5007,10,"snake"
13,"carries malaria","free_production",8671,11,"mosquitoes "
13,"doesn&quotechart attack swimmers","free_production",8936,12,"dog"
13,"doesn&quotechart have beautiful feathers","free_production",9649,13,"crow"
13,"is red","free_production",47966,14,"robin"
13,"has wings","free_production",6596,15,"cardinal"
13,"attacks swimmers","free_production",5357,16,"shark"
13,"doesn&quotechart carry malaria","free_production",10278,17,"cow"
13,"doesn&quotechart eat people","free_production",5707,18,"cow"
13,"has a pouch","free_production",11095,19,"koala "
13,"doesn&quotechart carry Lyme disease","free_production",10982,20,"cow"
13,"is white","free_production",7358,21,"polar bear"
14,"carries Lyme disease","free_production",60733,1,"deer"
14,"has spots","free_production",10990,2,"leopard"
14,"lays eggs","free_production",11470,3,"chicken"
14,"doesn&quotechart have beautiful feathers","free_production",22079,4,"dog"
14,"has a pouch","free_production",40595,5,"kangaroo"
14,"is full-grown","free_production",12025,6,"cow"
14,"carries malaria","free_production",37505,7,"mosquito"
14,"doesn&quotechart attack swimmers","free_production",21025,8,"gold fish"
14,"is red","free_production",8642,9,"gold fish"
14,"doesn&quotechart carry malaria","free_production",6754,10,"cat"
14,"is male","free_production",10906,11,"dog"
14,"is white","free_production",17665,12,"horse"
14,"has beautiful feathers","free_production",33624,13,"peacock"
14,"doesn&quotechart carry Lyme disease","free_production",9983,14,"cat"
14,"doesn&quotechart eat people","free_production",9779,15,"fly"
14,"has wings","free_production",6920,16,"bird"
14,"eats people","free_production",15912,17,"shark"
14,"has a mane","free_production",5722,18,"lion"
14,"is juvenile","free_production",10547,19,"tiger"
14,"attacks swimmers","free_production",6411,20,"shark"
14,"is female","free_production",6287,21,"dog"
15,"is red","free_production",9124,1,"lady bug"
15,"has a pouch","free_production",5827,2,"kangaroo"
15,"is male","free_production",5004,3,"dog"
15,"is full-grown","free_production",9393,4,"bear"
15,"doesn&quotechart have beautiful feathers","free_production",14681,5,"crow"
15,"doesn&quotechart attack swimmers","free_production",9054,6,"bird"
15,"doesn&quotechart eat people","free_production",6234,7,"elephant"
15,"lays eggs","free_production",6121,8,"cat"
15,"carries malaria","free_production",10440,9,"mosiqito"
15,"is female","free_production",10932,10,"giraffe"
15,"has wings","free_production",5266,11,"bird"
15,"is juvenile","free_production",11774,12,"worm"
15,"has beautiful feathers","free_production",4538,13,"ostrich"
15,"doesn&quotechart carry Lyme disease","free_production",6216,14,"tiger"
15,"is white","free_production",5876,15,"leopard"
15,"has spots","free_production",6811,16,"leopard"
15,"carries Lyme disease","free_production",6139,17,"mosiquito"
15,"has a mane","free_production",5310,18,"lion"
15,"doesn&quotechart carry malaria","free_production",10308,19,"tiger"
15,"eats people","free_production",23002,20,"shark"
15,"attacks swimmers","free_production",3852,21,"shark"
16,"is full-grown","free_production",12948,1,"butterfly"
16,"has spots","free_production",16317,2,"cheetah"
16,"is red","free_production",5630,3,"ladybug"
16,"has a pouch","free_production",5655,4,"kangaroo"
16,"doesn&quotechart eat people","free_production",8784,5,"horse"
16,"has a mane","free_production",7125,6,"lion"
16,"is white","free_production",8671,7,"polar bear"
16,"doesn&quotechart carry Lyme disease","free_production",11183,8,"panda"
16,"eats people","free_production",7888,9,"tiger"
16,"has beautiful feathers","free_production",4631,10,"peacock"
16,"has wings","free_production",4991,11,"fly"
16,"doesn&quotechart attack swimmers","free_production",5848,12,"zebra"
16,"attacks swimmers","free_production",3799,13,"shark"
16,"lays eggs","free_production",5312,14,"sea turtle"
16,"is female","free_production",12072,15,"cat"
16,"is juvenile","free_production",11292,16,"aligator "
16,"doesn&quotechart carry malaria","free_production",12424,17,"sea lion"
